CPT Code,Description
17110,"The provider destroys benign lesions using techniques such as chemosurgery, cryosurgery, electrosurgery, or others. This code reports the destruction of one to 14 lesions other than skin tags or cutaneous vascular proliferative lesions."
90674,"Use this code for the supply of 0.5 mL of preservative– and antibiotic–free, 4–strain influenza virus vaccine, developed from cell cultures, for administration by injection into a muscle."
98960,"A nonphysician healthcare professional uses a standard curriculum to educate a patient about his or her disease or disorder, for example, asthma or diabetes. She also provides training on how to manage it more effectively. This education and training service enables the patient and or the caregiver or family to effectively manage the disease. The healthcare professional spends 30 minutes with an individual patient."
92583,The provider screens the hearing in a child as young as three years of age by having him select pictures that correspond with sounds.
96361,"The provider administers intravenous, or IV, fluids with electrolytes through an already established intravenous route for each additional hour to treat more severe dehydration."
99385,The provider performs a well–patient visit for a patient who is between the ages of 18 and 39.
20551,"The provider injects a drug into the origin or insertion site of a tendon to relieve pain, inflammation, and swelling from a diseased or damaged tendon."
90792,"In this procedure, the provider performs a psychiatric evaluation of the patient with the aim of making a diagnosis. In addition to the diagnostic evaluation, he also renders some additional medical services."
76802,"In this add–on procedure, the provider performs a transabdominal ultrasound to examine each additional gestational sac during the first trimester."
99456,A provider other than the patient’s treating physician provides a work–related or medical disability exam such as that required for a workers’ compensation claim.
99058,The provider renders emergency services to a patient in the provider’s office during regular office hours without an appointment and ahead of other scheduled patients.
99377,Report this service when the provider supervises and coordinates the care provided to a hospice patient. For 99377 the provider should spend a minimum of 15–29 minutes on the patient’s indirect care.
86618,The lab analyst performs an immunoassay to evaluate the patient’s blood or cerebrospinal fluid for antibodies to the bacterium Borrelia burgdorferi.
72110,"In this diagnostic procedure, the provider performs at least four X–ray views of the lumbosacral spine to evaluate the patient's spine for the presence of abnormal curves, fractures, or cancer."
57160,"In this procedure, the provider fits and inserts a pessary or similar device into the vagina to treat vaginal wall prolapse or other disorders."
11750,"The provider removes part or all of a fingernail or toenail, including the nail plate and matrix and including the lunula if the excision is complete."
94010,The provider or technician administers a spirometry test to assess the patient's respiratory function. The spirometer is attached to a computer that records the total and timed vital capacity (maximum expired air) and expiratory flow rate (speed of expiration) and displays the results as a graph. The patient may or may not be required to exhale rapidly over 12 to 15 seconds after deep breathing.
99415,The clinical staff spends additional time directly with the patient on an office or outpatient evaluation and management service. Use this code for the first hour of additional time that the staff spends under the provider’s supervision.
99425,"A physician or other qualified healthcare professional personally performs management and care plan services for a patient with a complex chronic condition, expected to last three months, which places the patient at significant risk of hospitalization, acute exacerbation, decompensation, functional decline, or death. Use this code for each additional 30 minutes of physician or other qualified healthcare professional time beyond the first 30 minutes in a calendar month."
87075,"The lab analyst performs an anaerobic culture using material from any source except blood, and identifies any isolated bacteria to the least specific level, such as genus."
99395,The provider performs an established well–patient visit for a patient who is between the ages of 18 and 39.
93271,"In this service, the provider monitors the patient’s heart rhythm while the patient is experiencing cardiac symptoms. He places electrocardiogram leads of an event recorder on the patient's chest, which can record and transmit the patient’s heart rhythm information for up to 30 days. The patient uses the device to transmit the ECG tracing before and during symptoms such as chest pain. Subsequently, the provider will analyze and advise the patient on the most appropriate action to take. This code represents both the technical and professional component of the transmission of the ECG information and its analysis."
90620,"The provider administers a meningococcal recombinant protein and outer membrane vesicle vaccine to prevent the patient from getting a meningococcal disease such as Neisseria meningitides, as part of a two–dose schedule intramuscularly. The vaccine is recommended for individuals 10 years old and older at risk for the disease."
97112,"Neuromuscular reeducation is a therapeutic treatment (exercise) performed by a physician in an attempt to reduce impairments and restore function through the application of clinical skills and/or services. The use of these procedures is expected to result in improvement of the limitations/deficits in a reasonable and generally predictable period of time. The exercises increase the communication between the brain and the contracting muscles of issue. The proprioceptive system provides feedback on the status of the body internally. It is the sense that indicates whether the body is moving with required effort, as well as location of various parts of the body in relation to each other and external objects."
97551,The provider trains one or more caregivers face to face. The training focuses on strategies and techniques so caregivers can help a patient who has functional deficits. This add–on code covers each additional 15 minutes of training after the first 30 minutes.
90736,The provider administers a live vaccine subcutaneously to protect against varicella zoster infection.
99453,The provider sets up and trains the patient on the use of remote physiologic monitoring equipment.
87591,"The lab analyst performs a lab test for Neisseria gonorrhoeae, also called GC, using amplified nucleic acid probe technique."
99499,Use 99499 to report evaluation and management services for which there is no specific code available.
99396,The provider performs an established well–patient visit for a patient who is between the ages of 40 and 64.
11401,"The provider excises a noncancerous lesion, excluding a skin tag, of 0.6 to 1.0 cm in diameter, including margins, from the skin of the trunk, arms, or legs."
99211,An established patient presents for an office or other outpatient visit that may not require the presence of a physician or other qualified healthcare professional.
11720,"The provider surgically debrides (debulks or removes) 1 to 5 abnormal, diseased, or infected nails."
99355,No Summary found for this code
16025,"This CPT code is for the dressing and/or debridement of a partial–thickness burn (either initially or subsequently). In this instance the burn is medium (whole face or extremity, or 5 percent to 10 percent of the total body surface area)."
90685,"The provider administers into a muscle of a patient, a preservative–free, four–strain influenza virus vaccine, in a 0.25 mL dose to provide immunity to four forms of influenza, a severe and infectious respiratory disease."
95251,A provider analyzes and interprets data from a patient’s continuous glucose monitor (CGM) and writes a report based on interpretation. This code represents the professional component of the service only.
99421,"A physician or other qualified healthcare professional discusses, using online communication technologies, a health issue and possible treatment or management with an established patient. This code covers 5 to 10 minutes of cumulative time spent with the patient for a period of up to 7 days."
76805,"In this procedure, the provider performs an ultrasound of a pregnant uterus for examination of the first or a single fetus and to examine the mother after the first trimester, or more than 14 weeks of pregnancy, using a transabdominal approach."
76816,The provider reexamines the fetus to follow up on a prior abnormal transabdominal ultrasound.
90473,"In this procedure, the provider administers a live attenuated vaccine through intranasal or oral route."
99483,"The provider performs a thorough assessment of a cognitively impaired patient’s understanding, comprehension, memory, and reasoning; obtains a history; reviews the patient’s medication lists and makes any necessary adjustments; and prepares and documents a plan of care that involves moderately or highly complex medical decision making, consistent with required elements listed in the descriptor. The provider typically spends 60 minutes total time on the encounter on a single date."
90632,"The provider injects an altered form of the hepatitis A virus into a muscle of an adult to provide immunity to hepatitis A, an infectious disease of the liver."
90696,"The provider administers a combination vaccine for diphtheria, tetanus toxoids, acellular pertussis and polio virus intramuscularly to children between four to six years of age."
91308,No Summary found for this code
98968,"A nonphysician healthcare professional discusses, via telephone, a new health issue and possible treatment or management with an established patient, parent, or guardian. The illness is unrelated to a service provided within the last seven days and also unrelated to a service or procedure that takes place within the next 24 hours or soonest available appointment. This service includes 21 to 30 minutes of telephonic conversation."
99326,No Summary found for this code
99403,"At an encounter separate from a preventive medicine visit, the provider offers counseling related to subjects appropriate for the patient’s age, family history, and areas of concern. The subjects covered relate to prevention and risk factor reduction. Use this code for a session lasting roughly 45 minutes."
96125,"In this procedure, the provider performs standardized cognitive performance testing, which is a functional assessment test for a person with memory loss."
99446,"A consulting physician or other qualified healthcare professional performs a five– to 10–minute consult via telephone, internet, or electronic health record (EHR) and provides a verbal and written report to the requesting physician/qualified healthcare professional."
99202,"The provider sees a new patient for an office visit or other outpatient visit involving evaluation and management. The visit involves straightforward medical decision making, and/or the provider spends 15 or more minutes of total time on the encounter on a single date."
99335,No Summary found for this code
96374,"The provider administers a single medication or other substance rapidly into a vein to treat, prevent, or diagnose a condition."
99051,"The provider sees a patient during regular office hours that occur outside of traditional office hours, i.e., in the evening, on a weekend, or on a holiday."
90681,The provider administers two doses of live attenuated rotavirus vaccine by mouth to prevent rotavirus related gastroenteritis with vomiting and diarrhea.
96360,The provider introduces a catheter intravenously for supplementation of fluid and electrolytes for 31 minutes to one hour to treat severe cases of dehydration.
90743,This code represents an adolescent–dosage vaccine product administered intramuscularly to protect against the liver disease hepatitis B. The vaccine has a two–dose schedule.
86689,"The lab analyst performs a confirmatory antibody test, such as Western blot, for HTLV or HIV using a patient’s serum."
64646,"The provider injects a chemical, such as Botox®, into one to five muscles in the trunk to relieve a patient's pain and spasms."
99417,The provider spends additional time on an outpatient evaluation and management service. Use this code for each additional 15 minutes beyond the minimum required time.
98967,"A nonphysician healthcare professional discusses, via telephone, a new health issue and possible treatment or management with an established patient, parent, or guardian. The illness is unrelated to a service provided within the last seven days and also unrelated to a service or procedure that takes place within the next 24 hours or soonest available appointment. This service includes 11 to 20 minutes of telephonic conversation."
11982,The provider removes a non–biodegradable implant (a capsule or pellet with controlled–release properties containing a drug for long term delivery).
90646,No Summary found for this code
90715,"The provider uses this combination vaccine as a booster to help protect patients who are 7 years old or older from lockjaw, diphtheria, and whooping cough."
11300,"The provider removes one epidermal or dermal lesion of 0.5 cm diameter or less from the trunk, arms, or legs."
97598,"After debriding the initial 20 cm2 at the same encounter, the provider excises devitalized (dead) tissue from an open wound. He may use a variety of techniques that include sharp debridement with scissors, forceps, or a scalpel (a surgical knife), or he may use a high pressure waterjet, with or without suction. The excision can include the deep layer of skin or the outer layer; blood clots or other debris that has escaped from the blood vessels and been deposited in the wound; or biofilm, microorganisms that adhere to the exposed tissues of the wound."
97163,"The provider, typically a physical therapist, conducts a physical therapy evaluation that includes history of a patient with three or more personal factors that may affect care, assess a clinical status with unstable and unpredictable characteristics, and examines four or more elements relating to body structure and function, and limitations, such as joint flexibility, muscle strength, gait, mobility, and neuromuscular function. She uses standardized tests and measures and employs clinical decision–making of high complexity, typically involving 45 minutes of face–to–face time with the patient or family or both."
97164,"The provider, typically a physical therapist, conducts a physical therapy re–evaluation that includes history review and standardized tests and measures to assess body structure and function; she revises the plan of care using standardized instrument and measurable functional outcome assessment tool, typically involving 20 minutes of face–to–face time with the patient or family or both."
90682,"The provider injects a vaccine into a patient’s muscle to provide immunity to four forms of influenza, a severe and infectious respiratory disease. The vaccine is derived from a specific protein (glycoprotein) found on the surface of the influenza virus that is responsible for binding the virus to cells of the respiratory tract."
86328,"The lab analyst performs a single–step immunoassay to qualitatively or semiquantitatively evaluate the patient’s specimen for antibodies to the severe acute respiratory syndrome coronavirus 2 (SARS–CoV–2) virus, which causes the coronavirus disease first identified in 2019 (COVID–19)."
93247,"After a patient has worn an electrocardiographic, or ECG recorder, for more than seven days, up to 15 days, to detect abnormal heart rates and rhythm, a processing center technician performs a scanning analysis with a report of the electrocardiographic findings."
91321,This code represents a SARS–CoV–2 vaccine product administered by intramuscular injection to reduce the patient’s risk of contracting COVID–19. The dosage is 25 mcg/0.25 mL.
99383,The provider performs a well–patient visit for a child who is between the ages of 5 and 11 who meets the definition of new patient.
86592,"The lab analyst performs a test to detect the presence of syphilis–related antibodies in patient specimens using antigen tests such as rapid plasma reagin, called RPR; automated reagin test, called ART; or Venereal Disease Research Laboratory test, called VDRL."
90636,"The provider injects altered forms of the hepatitis A and B viruses into a muscle in an adult patient to provide immunity to both hepatitis A and B, infectious diseases of the liver."
11111,Failed to retrieve the page. Status code: 404
99402,"At an encounter separate from a preventive medicine visit, the provider offers counseling related to subjects appropriate for the patient’s age, family history, and areas of concern. The subjects covered relate to prevention and risk factor reduction. Use this code for a session lasting roughly 30 minutes."
90700,"The provider administers a combination vaccine intramuscularly for diphtheria, tetanus toxoids, and acellular pertussis to individual younger than seven years."
82950,"The lab analyst tests a sample, typically blood, for glucose, also known as blood sugar. The collecting provider takes the sample at a set time after the patient has ingested an amount of liquid or a meal with a high glucose content. Clinicians commonly use this to test for diabetes."
88164,The lab analyst performs the technical lab test to analyze a cervical or vaginal cytopathology slide by screening it manually. He performs the test under a physician’s supervision and reports the results using the Bethesda System.
64612,"In this procedure, the provider injects a chemical on one side of the face to disable the facial nerve and relieve painful facial nerve disorders or abnormal involuntary movements of facial muscles."
57454,"In this procedure, the provider examines the cervix, including the upper/adjacent portion of the vagina, using an instrument called a colposcope, and also performs biopsy(s) of the cervix and collection of tissue from the endocervical canal."
90714,The provider administers a preservative free combination vaccine for diphtheria and tetanus toxoids intramuscularly to an individual older than seven years to prevent these diseases.
20600,"In this procedure, the provider inserts a needle through the skin of a patient and into a small joint or bursa and then uses the syringe attachment to the needle to remove fluid or he may inject a drug into the joint for therapeutic purpose. He performs this procedure without using ultrasound guidance."
90672,"The provider administers an altered form of an influenza virus via the nose to provide immunity to four forms of influenza, a severe and infectious respiratory disease."
93010,The provider interprets and reports on the results of a routine 12–lead (or more) electrocardiogram.
81003,"The lab analyst inserts a dip stick into a freshly collected urine specimen, removes the dipstick, and shakes off the excess urine. She places the stick onto a mechanical dip stick reader that will automatically read and record the chemical analytes and other constituents such as leukocytes, pH, and specific gravity."
90686,"The provider administers into a muscle of a patient, a preservative–free, four–strain influenza virus vaccine, in a 0.5 mL dose to provide immunity to four forms of influenza, a severe and infectious respiratory disease."
95992,The provider moves the patient through a series of positions to treat benign paroxysmal positional vertigo. The position changes move canalith particles from parts of the inner ear where they cause dizziness to other areas of the ear.
81001,"Urinalysis is used to detect substances or cellular material in the urine associated with different metabolic and kidney disorders. It is used to detect urinary tract infections (UTI) and other disorders of the urinary tract. A regular urinalysis often includes color, clarity, odor, specific gravity, pH, protein, glucose, nitrites, WBC, and ketones. The most common method is dipstick or tablet reagent urinalysis but it can be performed by some other methods as well."
90461,"In this procedure, the provider administers an additional live attenuated vaccine either via a parenteral, oral, intranasal, intramuscular, or intravenous to a patient up to 18 years of age after the administration of the first vaccine."
90650,"The provider injects an altered form of the human papillomavirus, or HPV, into a muscle to provide immunity to two types of HPV, a cause of genital warts and cervical cancer. He administers the vaccine as part of a three–dose schedule."
83036,"Sugar in the bloodstream can get attached to the hemoglobin in red blood cells. Once the sugar is attached, it stays there for the lifetime of the red blood cell (around 120 days or over 3 months). The higher the amount of blood sugar, the more the quantity of sugar attached to the blood cells. This A1C test measures the amount of sugar sticking to the red blood cells, displaying the result as a percentage. This gives the physician an understanding about the blood sugar level of the patient for the preceding three months. A normal, healthy person should have A1C level below 7%."
90680,"The provider administers three scheduled doses of a live pentavalent rotavirus vaccine by mouth to prevent rotavirus related gastroenteritis that causes vomiting and diarrhea. Prolonged vomiting and diarrhea can lead to dehydration, especially in an infant."
90702,The provider administers a combination vaccine for diphtheria and tetanus toxoids intramuscularly to individual younger than seven years.
90688,"The provider administers into a muscle of a patient, a four–strain influenza virus vaccine, in a 0.5 mL dose to provide immunity to four forms of influenza, a severe and infectious respiratory disease."
84703,"The lab analyst performs a test to detect the presence of human chorionic gonadotropin, or hCG, hormone, typically in patient blood."
64615,"The provider bilaterally administers a chemical compound to the muscles innervated by the trigeminal, facial, cervical spinal, and accessory nerves. The goal of this procedure is to paralyze the muscles. Providers may treat chronic migraines using this method."
82947,The lab analyst performs a test to measure the amount of glucose in a patient's blood using a method other than a reagent strip.
99284,The provider sees a patient for an emergency department visit involving evaluation and management (E/M). The visit involves a moderate level of medical decision making.
90739,This code represents an adult–dosage vaccine product administered intramuscularly to protect against the liver disease hepatitis B. The product has a synthetic DNA called CpG added to improve the immune response. The vaccine has a two–dose or four–dose schedule.
99998,Failed to retrieve the page. Status code: 404
90716,The provider administers a live vaccine subcutaneously to protect against varicella infection.
93793,"The provider reviews and interprets a new INR test result of a patient taking regular doses of warfarin after which he adjusts the dosage if needed, instructs the patient on continued treatment, and schedules additional tests if needed."
99072,"The provider uses items, supplies materials, or requires clinical staff time in excess of what is normally used or provided for an office visit or other nonfacility encounter. These additional items and time must support a safe in–person visit by reducing the chance of transmitting a respiratory–transmitted infectious disease that has caused a Public Health Emergency."
99458,"The provider monitors a patient’s remote physiologic recordings and/or programmed alerts and interacts with the patient or caregiver to adjust treatment based on the recordings. Report this code for each additional 20 minutes of clinical staff, physician, or other qualified healthcare provider time spent providing this service."
94664,"The provider educates a patient on the use of an aerosol device, nebulizer, metered dose inhaler, or IPPB device and then has the patient demonstrate her understanding. He does this as part of the evaluation and management of a patient who needs this type of respiratory therapy."
88150,The lab analyst performs the technical lab test to analyze a cervical or vaginal cytopathology slide manually under a physician’s supervision.
57452,"In this procedure, the provider uses a colposcope to examine the cervix, including the upper/adjacent portion of the vagina."
71101,"In this diagnostic procedure, the provider performs a three view unilateral radiological study of the ribs including a posteroanterior, or back to front, view of the chest. He performs this procedure to identify problems pertaining to the ribs."
93243,"After a patient has worn an electrocardiographic, or ECG recorder, for more than 48 hours, up to 7 days, to detect abnormal heart rates and rhythm, a processing center technician performs a scanning analysis with a report of the electrocardiographic findings."
93975,"The provider performs a complete study of the abdominal, pelvic, scrotal, and or retroperitoneal organs using duplex ultrasound. He performs the procedure to examine the vascular supply to the organs involved as well as the venous return."
99243,The provider sees a patient for an office or other outpatient consultation involving evaluation and management (E/M). The E/M involves a low level of medical decision making or the provider spends at least 30 minutes of total time on the encounter on a single date.
87804,"The analyst performs an immunoassay with direct optical, meaning visual, observation to detect influenza, also called flu, in a patient sample, typically a throat or nasal swab or nasal washings."
90472,This code represents each injection of a vaccine after the first; list this code in addition to the code for the first injection.
80305,"The lab analyst performs presumptive drug test(s) by any method that the analyst can read by direct optical observation only, without instrument assistance, to screen for any number of drug classes on a single date."
90651,The provider administers nonavalent human papillomavirus vaccine (HPV) intramuscularly. He administers the vaccine in two or three doses. He administers the vaccine to protect the patient from infection by nine strains of the human papillomavirus.
96375,"Following the administration of a drug or other substance via intravenous, or IV, push, the provider sequentially infuses a different medication or medications, also via IV push. He administers the substance or drug for prevention, diagnostic, or therapeutic purposes."
90678,This code represents a bivalent prefusion F vaccine product administered into the muscle to protect against respiratory syncytial virus.
93922,"Noninvasive arterial diagnostic procedures are performed to examine the rate of blood flow and to assess the presence of blockage in the upper and lower extremity arteries. Plethysmography, oxygen tension measurements, and Doppler waveform analysis are a few of the tests that can be performed under this category."
87651,"The lab analyst performs a test for the bacteria Streptococcus, group A, using amplified nucleic acid probe technique. Strep A commonly causes acute pharyngitis, or strep throat."
96103,No Summary found for this code
90670,"In this procedure, the provider administers a vaccine that protects infants and young children against 13 specific strains of pneumococcus, a bacterial organism that causes ear infections, pneumonia, and other infectious diseases, including meningitis, a disease that attacks the meninges, the covering of the brain and spinal cord."
93227,"In this procedure, the provider reviews and interprets the data from an external electrocardiographic, or ECG recorder, worn by a patient for 48 hours to detect abnormal heart rates and rhythms. He reviews and interprets the electrocardiographic findings."
99001,The provider prepares a specimen collected from a patient at a location other than the provider’s office and sends it to an outside laboratory for analysis.
87880,"The analyst performs an immunoassay with direct optical, meaning visual, observation to detect Streptococcus, group A, in a patient sample, typically a throat swab."
90723,"The provider administers a combination inactivated vaccine intramuscularly to prevent multiple diseases, including diphtheria, tetanus, acellular pertussis, hepatitis B, and polio."
85610,"Prothrombin time is most commonly measured using the blood plasma. Chemicals like calcium and tissue factor are added to the plasma sample and then the time is noted when the plasma clots. To analyze if a blood thinner agent or an anticoagulant drug like Coumadin is working, the drug is mixed in blood plasma or the patient is instructed to take the medicine before the test. The anticoagulant drug, when properly acting, causes a delay in clotting of blood."
97535,A healthcare provider is required to give  proper instruction to a person especially in cases of recovery from acute disease.
99394,The provider performs an established well–patient visit for an adolescent who is between the ages of 12 and 17.
88155,"The lab analyst performs the technical lab test to analyze cervical or vaginal cytopathology slides to definitively evaluate the patient’s hormones. The analyst may perform this evaluation by a number of methods that can include maturation index, karyopyknotic index, and estrogenic index. The analyst performs this exam in addition to codes for other technical and interpretation services."
36416,"In this procedure, the provider pricks the patient’s finger, heel, or ear with a pointed instrument and collects specimen of droplets of blood by pressing the pricking site."
11306,"The provider shaves off a single epidermal or dermal lesion of 0.6 to 1.0 cm in diameter from the skin of the scalp, neck, hands, feet, or genitals."
99173,"The provider checks the eyesight in both eyes of a pediatric patient by asking him to read letters of varying sizes on a standard chart, such as a Snellen’s chart, which he keeps 20 feet away from the patient."
76817,The provider performs an ultrasound of the pregnant uterus to examine the fetus and the mother's organs using a transvaginal approach.
88106,"The analyst prepares smears of cytopathology fluids, washings, or brushings, except for cervical or vaginal fluid, using a simple filter method and interprets his findings. Cytopathology is the study of cellular changes in disease states, such as cancer, infection, or inflammation."
11981,"The provider inserts a bioresorbable, biodegradable, or non–biodegradable implant, such as a capsule or pellet, containing a drug for long–term delivery."
73100,"In this procedure, the provider takes two X–ray images of a patient’s wrist to check for any fracture, swelling, or reason of pain in the wrist area."
90675,"The provider injects an altered form of a rabies virus into a muscle after exposure to rabies, a deadly disease transmitted through an animal bite. Rabies attacks the nervous system and brain, resulting in paralysis and death if not treated promptly."
23071,"The provider excises an abnormal mass, or tumor, from the soft tissues immediately below the skin in the shoulder. He submits the specimen, 3 cm or greater in size, to a laboratory for analysis and diagnosis."
87110,The lab analyst performs a culture from any patient source and identifies any Chlamydia species.
99375,"Report this service when the provider supervises the care provided by a home health agency, overseeing the plan of care, while the patient is at home or in a facility meant for long–term care. For 99375 the provider should spend 30 minutes or more on a patient’s indirect care."
80048,"The lab analyst performs a basic metabolic pane (BMP) test in which he measures the blood level of eight chemicals including total calcium, sodium, potassium, chloride, carbon dioxide, glucose, blood urea nitrogen (BUN), and creatinine."
84704,"The lab analyst performs the technical lab test to quantitate free beta chain human chorionic gonadotropin, called free beta hCG, typically using serum or whole blood. Free beta hCG can indicate fetal genetic abnormalities, such as Down syndrome, primarily during the first trimester."
87084,"The lab analyst cultures a patient specimen on a test medium designed to grow only a specific pathogenic organism, and estimates the level of colony growth using a density chart."
87491,The lab analyst performs a test for Chlamydia trachomatis using amplified nucleic acid probe technique.
